what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1352472343884
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1352472345750
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1352472356977
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472367465
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472369572
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472372690
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472376866
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472378952
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472435168
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472441857
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472469127
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472470643
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472486525
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472489445
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472557641
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472559143
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472560192
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1352472560488
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1352472561254
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1352472561300
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1352472561322
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1352472561322
